Symbol	logFC	unshrunk.logFC	logCPM	PValue	FDR
Tlr1	2.55509924	2.575769814	3.487596434	3.81E-05	0.002082995
Bcl2a1b	6.137914608	144269482.9	1.156884818	3.83E-05	0.002087665
Tgfbi	2.064741775	2.065552675	6.773101062	3.84E-05	0.002087665
Cd37	2.28043893	2.293662671	3.595608343	3.84E-05	0.002087665
Apoc2	5.307634004	5.61373149	1.650589348	3.92E-05	0.002125107
Mmp19	2.405388699	2.411148318	4.989816666	3.94E-05	0.00212918
Uck2	1.623597526	1.623639843	6.098303755	3.95E-05	0.00212918
Bst1	2.655174419	2.668516498	3.802506284	4.02E-05	0.002159799
Gdf3	6.346518183	144269483.1	-0.34341999	4.04E-05	0.002166425
Bdkrb2	2.490347879	2.510826087	1.436050588	4.08E-05	0.002178912
Hcar2	6.391361657	144269483.1	2.001452349	4.12E-05	0.002192625
Ccr2	3.128883093	3.135285032	6.23560021	4.13E-05	0.002192625
Baalc	2.520084929	2.538100006	-1.316102867	4.13E-05	0.002192625
Uchl1	1.786030852	1.789480161	2.214217365	4.25E-05	0.002247648
Myo5a	1.881294411	1.882309964	7.126396966	4.26E-05	0.002248873
E2f2	2.41292361	2.433180935	3.315477128	4.31E-05	0.002267722
Il1r2	4.777933594	5.081912112	2.881010476	4.32E-05	0.002267722
Spire2	3.760796073	3.914790758	-0.595410997	4.34E-05	0.002274596
Fam83d	2.41030213	2.426953645	3.538663239	4.37E-05	0.002283815
Rbm47	2.703609705	2.72316479	3.828823734	4.40E-05	0.002290643
Azin2	1.94945212	1.953050139	2.44212109	4.42E-05	0.002296259
Rgs14	2.833288297	2.875817435	2.570435742	4.50E-05	0.002331498
Nxpe5	2.519434147	2.525214602	3.9806218	4.51E-05	0.002331498
Hist1h3c	2.801909755	2.821419353	3.495661851	4.68E-05	0.002414979
P4ha3	3.429418413	3.531935169	2.477918532	4.75E-05	0.002442423
Slit2	1.896431573	1.898746224	5.70686962	4.84E-05	0.00248516
Slfn9	2.385485126	2.398419644	4.386994529	4.89E-05	0.002502384
Olr1	4.091169724	4.247795101	2.790034701	4.91E-05	0.002506402
Tuba1b	1.767093458	1.767344887	4.971825574	4.93E-05	0.002512167
Irf5	1.913742604	1.916377453	5.130492698	4.98E-05	0.002530365
Apbb1ip	2.758475545	2.783252012	3.752858003	5.03E-05	0.002549839
Igsf6	2.000881933	2.006298603	4.977815475	5.04E-05	0.002549839
Hist1h2bj	2.366590506	2.375207573	3.459616095	5.18E-05	0.002609449
Cdc25c	3.156337509	3.232303719	2.684166706	5.18E-05	0.002609449
Hist1h2an	6.149698805	144269482.9	0.521437071	5.27E-05	0.002647996
Kif14	2.952496766	2.990315272	3.708153621	5.62E-05	0.00281465
Col5a1	2.195130374	2.195280676	10.33933894	5.69E-05	0.002842941
Tlr13	2.970041129	2.974414592	5.809921017	6.02E-05	0.002998671
Fam71a	6.077825669	144269482.8	2.962865058	6.17E-05	0.003067561
Cdt1	1.845893526	1.849359661	3.660591055	6.67E-05	0.003308401
Ckap2l	2.711483278	2.731171848	4.538082085	6.70E-05	0.003313348
Adamts8	2.202010589	2.206334366	4.089085337	6.96E-05	0.003437005
Zan	3.84805285	4.002626182	0.62817549	6.98E-05	0.003437436
Fcgr3	2.25414111	2.255939299	6.060019057	7.47E-05	0.00367275
Kdelr3	1.717795808	1.718866442	5.422577987	7.50E-05	0.003676497
Evi2a	2.191032966	2.201608969	4.123981544	7.59E-05	0.003709847
Fyb	2.500942894	2.510106274	4.842596726	7.65E-05	0.003732361
Myc	2.14989406	2.154026032	4.701215583	7.69E-05	0.003732708
Spdl1	2.568257723	2.590699423	3.568726298	7.69E-05	0.003732708
Cdr2	1.657954379	1.659344103	5.332334569	7.82E-05	0.003790703
Ifi30	1.776093567	1.777044842	5.541441591	7.92E-05	0.003819622
Hist1h3i	2.139767363	2.14723542	3.511616904	8.09E-05	0.003893244
Ube2c	2.419624249	2.431447154	4.017600479	8.31E-05	0.003981528
Hist1h2bl	2.363695172	2.377650444	2.878068344	8.32E-05	0.003981528
Cd109	2.071329725	2.074293192	5.787088023	8.51E-05	0.004065822
Aspm	2.660639527	2.669783707	6.093918969	8.63E-05	0.004114019
Has1	2.787135947	2.814271931	3.98038135	8.65E-05	0.004114019
Plac8	2.996866513	3.040070562	3.842891969	8.68E-05	0.004115797
Arl11	2.560281181	2.575579928	2.8597684	8.70E-05	0.004115797
Tuba1a	1.65587501	1.656065008	7.07285023	8.78E-05	0.004145583
Fcgr2b	2.263283047	2.266696697	5.103889853	8.90E-05	0.004187822
Lig1	1.75870601	1.760962587	5.043373787	8.91E-05	0.004187822
Moxd1	2.713212334	2.742729252	1.959076381	9.05E-05	0.004243159
B430306N03Rik	3.319733474	3.37113018	2.731942789	9.95E-05	0.004635716
Prim1	1.989823503	1.999196613	4.014566847	0.000102485	0.00476348
Hells	2.287619494	2.297279026	4.872405777	0.000104594	0.004850566
Fcgr1	2.786228717	2.793488961	4.558755761	0.000105714	0.004891537
Shisa4	1.801407312	1.804789083	2.433609685	0.000113787	0.005229905
Ikzf1	2.137090317	2.146096657	4.482534293	0.000114127	0.005233866
Hmmr	2.754065466	2.768802415	4.969563455	0.000119996	0.005490812
Fam105a	2.331286001	2.339613905	4.540850378	0.000122035	0.00557175
Mmp9	2.903009627	2.912812856	4.465457732	0.000122376	0.005574998
Tyms	1.79322314	1.79725098	4.486262543	0.00012399	0.005636084
Coro2a	2.464606234	2.48664026	2.620233225	0.000124548	0.005648992
B4galnt1	1.859279047	1.862476498	3.928447302	0.000128616	0.005820699
AW551984	2.324374649	2.336472741	3.769807722	0.000129969	0.005869072
Cxcr2	4.000057012	4.156118038	3.096385976	0.000130798	0.005893619
Fam198b	1.722016073	1.722162415	7.721110407	0.00013376	0.006013956
AF251705	2.512499786	2.523945515	4.294027759	0.000135734	0.006089442
Sell	3.045335018	3.105730347	2.985816826	0.000136069	0.006091244
Unc13c	2.709176296	2.731793919	1.444968083	0.000139622	0.006236761
Cxcl13	6.415859492	144269483.1	0.246107307	0.000140006	0.006240381
Iqcg	-3.32133965	-3.328727585	1.695389737	0.000143704	0.006391439
Arhgap30	2.412700134	2.416518998	6.015689871	0.000148014	0.006554844
Tpbg	2.40639755	2.43206115	3.157075059	0.000148425	0.006558965
Zwilch	2.305271291	2.326790635	3.36801639	0.000157855	0.006960793
Myo1f	2.497366584	2.49963921	6.047913472	0.000162694	0.007158874
Laptm5	2.204564369	2.20564567	6.704266007	0.000163676	0.00718675
Knstrn	2.097088373	2.106093603	4.423929114	0.000167902	0.007356654
Kif21b	1.843535387	1.847836924	4.234675144	0.000173101	0.007552415
Sema3e	3.084071098	3.14473262	0.260993669	0.000175075	0.007622414
Serpina3f	2.390141724	2.396132681	2.764219129	0.000179052	0.007779171
Spn	2.295061722	2.313633681	3.085139796	0.000181416	0.007865284
Tro	2.157812098	2.174855681	4.643443643	0.000182185	0.007868601
Ctsz	1.586483075	1.586728574	7.186436092	0.000182255	0.007868601
Sash3	2.090107609	2.098475135	3.894791447	0.000187361	0.008072151
Fos	2.454819234	2.455115756	9.490912633	0.000188178	0.008090467
Arhgap22	2.724442321	2.766506166	2.516208247	0.000194379	0.008339722
Btk	2.546852617	2.567579781	3.402698948	0.000201358	0.008621223
Cybb	2.321349522	2.323257616	7.124726788	0.000202481	0.008651367
Prkcb	2.048164167	2.058812592	4.229594239	0.000206602	0.008809165
Ccl4	2.993689198	3.043905698	4.051693767	0.000207444	0.008826841
Wisp1	2.018483125	2.020158051	4.714989949	0.000208442	0.00885108
Ndc80	2.670804176	2.707546302	3.75742918	0.000209631	0.008883255
Adamts12	1.757886334	1.761065386	6.19988976	0.000211074	0.008926095
Lypd6b	2.535495051	2.559381715	-1.338137634	0.000214101	0.009035569
Lilr4b	2.764983092	2.771828009	6.198533163	0.000217182	0.009146898
Sdf2l1	1.81779431	1.819252334	4.269005312	0.000221396	0.009305396
Tnfsf18	2.721599318	2.763545445	-1.019174213	0.000223024	0.009354754
Alox8	2.98314792	3.033269597	-1.019650468	0.000228083	0.009546689
Lyz2	2.463082983	2.463243997	9.790652994	0.000228525	0.009546689
Slamf7	6.005355905	144269482.7	0.766410498	0.000230251	0.009594119
4930539E08Rik	5.737393313	144269482.5	-0.999096612	0.000230677	0.009594119
Creb3l1	1.84527306	1.849326721	3.59375003	0.000231579	0.009596586
Slc7a11	3.352260836	3.454156811	4.188684756	0.000234222	0.009686642
Ildr2	2.140925908	2.149390163	3.731475215	0.000240391	0.009921883
Cdca8	2.090922022	2.100484581	3.769698136	0.000241517	0.009948474
Psd4	2.214738764	2.219967405	4.591544787	0.000249085	0.010239789
Snai1	2.150678344	2.164899218	2.399063073	0.000250606	0.010281806
Fancd2	2.174117284	2.191201952	3.607057836	0.000252851	0.010353355
Tyrobp	2.49141085	2.49287057	6.542925691	0.00025702	0.010482441
Tmem158	2.173139506	2.183568027	2.67799837	0.000258312	0.010514369
Zfp365	3.038778121	3.13829535	1.383585625	0.000260318	0.010575146
Tnfrsf11b	3.296391475	3.397923107	3.178094509	0.000266462	0.010803483
Cdca3	2.139869204	2.146603428	4.015227811	0.000272241	0.011016156
Hist1h3a	1.953214483	1.958137529	3.782167643	0.00027839	0.011240906
Sphk1	2.055700634	2.061231749	3.859177556	0.000278885	0.011240906
Procr	1.798731763	1.802877859	3.746168687	0.000282735	0.01137387
Mcm3	1.5495494	1.550427394	5.965498864	0.000293216	0.01177256
Krt18	2.373401023	2.375938106	2.583351509	0.000296128	0.011866394
Krt14	3.450212277	3.552675165	0.791016735	0.000301964	0.012076821
Pak1	1.974290639	1.983001387	3.991389476	0.000306659	0.012240874
Rin1	1.828697206	1.830684224	2.745715518	0.000309164	0.012303303
Fcgr4	2.524992155	2.551084888	3.289794716	0.000309416	0.012303303
Actn1	1.490572313	1.490691514	6.987923035	0.000314693	0.012489085
Bzrap1	5.732439528	144269482.5	1.050588976	0.000315531	0.012498303
Litaf	1.538159846	1.538463726	7.331619628	0.000318429	0.012588933
Pilra	2.113158797	2.122708323	3.58745108	0.000322146	0.012711525
Wdhd1	1.869336224	1.877330712	4.186331088	0.000325072	0.012781415
Cdc7	2.021184982	2.034475733	4.041148962	0.000339514	0.013320434
Ncf2	2.175005766	2.182259612	4.612737124	0.000340907	0.013349714
Wfdc17	2.488576153	2.491013123	5.13791748	0.000342976	0.01340531
Crb2	2.414087959	2.442324307	1.524992669	0.000344171	0.013426568
Fam167b	2.81342483	2.872405395	0.900534309	0.000345752	0.013462802
Mmp3	4.132198687	4.430128237	0.955305024	0.000346594	0.013470175
Lrrc25	1.931600011	1.936463909	4.189186932	0.000350652	0.013602284
Ccr5	2.645290247	2.653456581	4.67115012	0.000352551	0.013623815
Cd7	3.230793761	3.331510907	0.31954899	0.000353035	0.013623815
Pirb	1.910939018	1.914021431	5.014335511	0.000357444	0.013762279
Msln	2.386885453	2.391761107	4.397889253	0.000359388	0.013811351
Tnfsf8	5.604175512	144269482.3	-0.363786657	0.000364974	0.013999949
Dscc1	3.001986842	3.101127882	2.004443919	0.000368324	0.014076098
Clcf1	2.133797689	2.150599284	1.819885813	0.000382824	0.014603212
Ms4a7	2.809243203	2.816772828	4.743209688	0.000394318	0.015013903
Lrr1	5.538329621	144269482.3	0.944546237	0.000403754	0.015344878
Fosb	2.613328064	2.616525591	8.035667915	0.000416127	0.015757094
Gpr84	5.743236245	144269482.5	1.300080654	0.000417142	0.015766582
Entpd7	1.569279474	1.572153874	4.059067918	0.000419819	0.015832216
Sla	2.051594709	2.058402746	4.685891873	0.000420413	0.015832216
Gm13889	1.749713919	1.751963222	2.919641975	0.000428448	0.016105423
Tmem45a	2.031468677	2.039910063	4.109165687	0.000439789	0.016501682
2810417H13Rik	2.317953544	2.343463985	3.728119104	0.000444304	0.016640846
Lif	2.799581092	2.858432279	2.222090996	0.000448168	0.016755139
Neil3	2.884890836	2.959289595	3.398062716	0.000449887	0.016788987
Il6	3.089525001	3.165023144	4.831770158	0.000454455	0.016924321
Itga4	1.88651708	1.892338874	5.449444281	0.000461138	0.017111291
Coro1a	2.130123807	2.131306252	6.602957578	0.00046184	0.017111291
Plvap	1.981894122	1.982797229	5.646618858	0.000469303	0.017356638
Nlrp3	2.687207639	2.709539256	5.287380795	0.000483415	0.017814712
Car9	2.020265381	2.031717945	0.84059629	0.000486982	0.017914161
Bub1b	2.014105041	2.01782446	5.329565996	0.000501674	0.018421779
Kcna3	5.498448188	144269482.2	1.219018091	0.000504904	0.018474668
Atf3	1.858183448	1.858451711	7.703396105	0.000510582	0.018616402
Clec12a	2.754008118	2.765036449	4.416715459	0.000513845	0.018702309
Mis18bp1	2.54285669	2.56910854	4.155187568	0.000518505	0.018838695
Cenpk	3.763445475	4.057267894	1.6638463	0.000531622	0.019281349
Galnt9	5.550691998	144269482.3	-0.750096162	0.000535252	0.019378941
Nlrp1b	2.120499418	2.139840109	2.618349743	0.000550427	0.019875434
Lgals7	3.858357723	4.153077515	-0.134345656	0.000550892	0.019875434
Tubb6	1.506085381	1.506202005	6.983995984	0.000564641	0.020306717
Padi4	3.792883098	3.82854756	2.008547198	0.000565219	0.020306717
Dennd1c	2.259588925	2.282605782	3.02932839	0.000565797	0.020306717
Cplx3	4.013626866	4.310199784	-1.824901012	0.000569225	0.020394269
Map6	1.717105403	1.720540997	2.936051112	0.000573567	0.020514223
Cgref1	1.839483079	1.843046598	1.143610519	0.000581969	0.020778709
Ackr1	3.085060727	3.184518202	0.753377742	0.000586236	0.020871281
Cd48	2.505892342	2.517538912	3.945167759	0.000586584	0.020871281
Zkscan2	3.115473135	3.216103005	0.055132156	0.000606071	0.021527533
Orai2	1.880370423	1.890209388	3.625300448	0.000614178	0.021777983
A630001G21Rik	2.130419874	2.151226877	2.74867724	0.000626594	0.022153061
Lxn	1.637015672	1.641877905	3.703039693	0.000626903	0.022153061
Klhl29	2.397201448	2.432343975	1.638607445	0.000673321	0.023752707
Myl4	2.233706636	2.233896939	5.868670747	0.000682126	0.023981306
Ska3	2.190374895	2.215197238	2.914699861	0.000687752	0.024137523
Col14a1	1.722243921	1.722952278	8.900756961	0.000689338	0.024137523
Ptprf	1.497709439	1.498131667	5.995720086	0.000690078	0.024137523
Ankle1	3.297403554	3.447294002	2.258566487	0.000691583	0.024149243
Fbn2	1.802182749	1.805262177	7.023976852	0.000699041	0.024368417
Folr1	3.278426304	3.42759378	-0.037214849	0.00070395	0.02445694
Etv4	2.162393485	2.178259238	2.815671202	0.000714585	0.024701644
Sv2a	1.742206638	1.742862089	2.896744162	0.000725596	0.025040351
Wfdc2	4.591060646	4.894680194	-1.985119252	0.000727185	0.025053281
Kif20b	2.325109224	2.338578573	4.484892959	0.000730853	0.025137705
Bgn	1.745011434	1.745193648	8.667226896	0.000739299	0.025385868
Creb3l3	2.67253329	2.730626308	0.775003771	0.000743032	0.025471678
Muc5b	2.819410892	2.844622177	0.395956945	0.000757936	0.025930599
Adamts16	5.452461422	144269482.2	0.341349051	0.000758932	0.025930599
Klra2	3.472825304	3.624489727	1.749344139	0.000761628	0.025979714
Cxcl3	5.841321217	144269482.6	2.128208008	0.000772507	0.026307312
Kif4	1.854063762	1.860314479	4.937323746	0.000779797	0.026511817
Kif15	2.157570668	2.168090364	4.830645631	0.000792764	0.026908331
Lgi1	-2.214310946	-2.219458125	-0.307222927	0.000803313	0.027221623
Inhbb	2.031343379	2.03407499	4.267945993	0.000811093	0.027395294
Clic1	1.437769662	1.43791225	7.359243719	0.000813203	0.0274217
Has2	2.645510322	2.687304407	4.706817353	0.000818525	0.027556106
Fignl1	1.919703409	1.927284408	4.106468406	0.000823655	0.02768365
Map3k9	2.53507204	2.582694771	1.594699853	0.000839004	0.028153716
Tmem119	1.862916808	1.865972757	4.719254439	0.000843774	0.028267798
Gm14548	3.026753366	3.125892647	1.674273334	0.000848256	0.028371909
Osm	2.763229872	2.805380655	4.132581975	0.000851639	0.028438965
Il18	3.199554909	3.348406029	1.666085066	0.000868807	0.028965375
Hist1h2bn	2.989465523	3.088046325	0.991317813	0.000876445	0.02917291
Bok	1.648407675	1.650139208	4.034757251	0.000883216	0.029350929
Siglecf	5.375562176	144269482.1	1.304453001	0.000890098	0.029437435
Gatm	1.770109634	1.772853983	6.037594022	0.00089891	0.02963389
Fcrlb	5.466103946	144269482.2	-0.304856387	0.000907277	0.029862
Kif23	1.983977119	1.991445438	5.170844483	0.000910397	0.029916982
Marcksl1	1.689586225	1.692137978	6.227754164	0.000913334	0.029965783
Troap	2.64801411	2.705896911	2.231387793	0.000922374	0.030214345
Msn	1.401748517	1.401791832	8.622262514	0.000956872	0.031294724
Slc18a1	2.271454641	2.292592849	0.379893804	0.000960729	0.03137114
Pask	1.778271557	1.785192457	3.947028709	0.000962614	0.031383049
Dab2	1.434545442	1.434982434	7.598040674	0.000972611	0.031658962
Fam196b	3.000649875	3.09973551	2.602603307	0.000981243	0.03184931
Syt12	1.853612077	1.855036445	0.695884236	0.00098231	0.03184931
Esco2	2.64448815	2.693229357	3.604944713	0.000983964	0.03184931
Nppa	2.43648437	2.436508088	7.322579306	0.000984632	0.03184931
Depdc1a	5.291690664	144269482	1.253979754	0.001004224	0.032337705
Chsy3	3.117190196	3.264886345	2.158995991	0.001004356	0.032337705
Rassf2	1.538996279	1.540326532	5.937169227	0.001004432	0.032337705
Ly86	2.207684476	2.217692571	4.359414595	0.001013096	0.032565822
Rassf7	1.745306152	1.7497918	0.705333082	0.001030521	0.033038974
Cldn3	2.831793991	2.890764252	-0.46008462	0.001032617	0.033038974
Fam186b	2.860567461	2.934261122	-1.583048559	0.001032618	0.033038974
Oas3	3.367086891	3.444833815	1.476864574	0.001036528	0.033112736
Dbn1	1.575272365	1.576127987	6.448195758	0.001040516	0.033156892
Arfgef3	2.499310958	2.546599377	1.695434261	0.001041421	0.033156892
Cercam	1.84162878	1.846813293	4.19149746	0.001069528	0.033956688
Tlr8	2.360649512	2.370241567	4.508272953	0.001081207	0.034274753
Tfec	2.351744646	2.38287468	3.156939369	0.001086747	0.034397536
Fermt3	1.644247064	1.645133028	5.506437644	0.001101879	0.034823102
BC048507	1.658413643	1.665224254	1.522889972	0.001114386	0.035164516
Adra2a	3.791029962	4.084793307	-0.071514572	0.001125957	0.035475373
Slc15a3	1.627663754	1.63006442	5.206386611	0.001153237	0.036279503
Stap1	2.735304889	2.808293728	2.632921006	0.001159007	0.036405523
Fam57b	1.798414106	1.800706133	0.664830755	0.001207441	0.037869233
Serpine1	1.941877808	1.941961903	7.313839636	0.001222774	0.038291929
Cilp	2.191773426	2.193822557	5.440139571	0.00127406	0.039777264
Gad1-ps	5.283778993	144269482	0.560678722	0.001301608	0.040575949
Gabrb3	2.338680768	2.366593604	-1.14077561	0.001303875	0.040585328
Fhdc1	1.947612211	1.957097037	1.289287154	0.001313931	0.040729134
Klra9	-3.647592292	-3.848525662	-0.231128402	0.001314416	0.040729134
Sept5	1.600081808	1.603146617	3.695919239	0.001323023	0.040934386
Sele	1.986730806	1.994109529	6.796563472	0.001340072	0.041337908
4933400A11Rik	5.302753005	144269482	-0.720130912	0.001344396	0.041409394
Bmp2	1.822716135	1.828962028	3.607079364	0.001351825	0.041576189
Fcho1	2.262198731	2.296669249	1.276482902	0.00135573	0.041634228
Srpx2	1.866673778	1.869083827	5.562237337	0.001358127	0.041645865
Tnfrsf26	2.174270081	2.20144529	2.051442601	0.001379179	0.042201014
Col27a1	1.670918104	1.673726075	5.407457717	0.001380561	0.042201014
Cebpe	5.289431695	144269482	0.037469889	0.001382366	0.042201014
Nppb	2.24128623	2.241296555	8.02656073	0.001427171	0.043504473
Runx3	3.280902016	3.430654194	1.633886691	0.001452865	0.044222383
S100a11	1.762117202	1.768092762	3.166395619	0.001464359	0.044506584
Raet1e	5.234179652	144269481.9	-0.137133541	0.00148653	0.045047756
Ptafr	1.954445998	1.957717601	5.624458319	0.001491381	0.045128481
Ctse	3.670254171	3.823459213	2.536786401	0.001500979	0.045352419
Aebp1	1.655130922	1.656097573	6.008634124	0.001515622	0.045727918
Capn6	2.388616506	2.423867814	4.83596221	0.001536082	0.046245371
Gdf6	2.249212601	2.266292641	3.687986846	0.001537255	0.046245371
Pik3ap1	2.012671289	2.01696552	5.032661673	0.001555688	0.046731784
Gas2l3	1.675534301	1.677530839	5.448876708	0.001585904	0.04757021
Slc39a8	1.766090582	1.772802904	3.738619272	0.001606467	0.048047322
Apol8	3.168994862	3.317851454	1.366913734	0.001608855	0.048049128
Arhgap11a	1.891850137	1.898443529	4.973198398	0.001672704	0.04966847
Dok5	2.08288103	2.091771035	-0.092393414	0.001682251	0.049818716
Gng2	1.579388587	1.582657475	5.0482912	0.001687676	0.049897675
