,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
FILIP1L,1.80296769538947e-07,0,1.7099107430529e-06,0,0,0,0,0,0,0,0,4.13971524799798e-07,0,3.90012489510662e-07
TBC1D23,5.84203396661317e-10,3.2663621553303e-10,5.85315840269273e-10,8.52890969041294e-10,0,6.42390972030225e-10,5.70881840699943e-10,1.60247282695877e-09,4.55090088298846e-10,7.21500429052479e-10,5.23774655496087e-10,3.18474581673009e-10,1.32465453952477e-09,4.66403720983415e-10
NIT2,1.41137404834645e-08,1.44410991287362e-07,6.03533606567774e-08,7.95908251016125e-08,1.52304000559524e-07,6.16489686971905e-08,1.79114946853044e-07,8.14593528032579e-08,2.97433160483014e-08,1.45925423937901e-07,2.09487715368603e-07,1.91083633193296e-07,1.80675936176571e-07,1.71396926102571e-07
TOMM70A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM45A,1.37878051517334e-08,0,0,0,0,0,0,0,0,0,0,2.2453487677299e-07,0,0
TFG,5.69777109509289e-06,2.96858014055988e-06,4.61921494930408e-06,3.8698921552476e-06,6.03035235839856e-06,5.2941984988284e-06,4.05320905184552e-06,1.34369351616378e-05,3.10041197519335e-06,1.20833062687817e-06,3.94558048818433e-06,9.03766760553961e-06,5.58636809337845e-06,1.36433622904201e-05
SENP7,1.32995229494368e-09,5.9987860349024e-09,0,4.23253524008039e-09,4.45735746522043e-09,7.85433727476445e-10,3.26338844565165e-09,5.9314292911315e-09,6.0028590125291e-09,6.13098189853238e-09,0,1.42647490985755e-09,2.74692657416925e-09,0
TRMT10C,1.19739409964847e-06,5.25410232188948e-06,3.30369436103298e-06,1.88509335759423e-06,1.46338439399794e-06,1.90004844030003e-06,3.09941376119693e-06,7.62308475244446e-06,4.66064074220225e-06,1.42217592504875e-06,1.1596617686806e-05,3.7138551679564e-06,2.50147875608403e-06,3.00105440176792e-06
PCNP,2.18516959469663e-08,3.29495084537897e-08,3.2839307608903e-08,2.53450097083794e-08,2.01597741984559e-08,2.59926661064243e-08,3.12179035102632e-08,3.44264330205391e-08,4.93238365042361e-08,1.21577790147617e-08,4.72151364819494e-08,2.31719283894933e-08,3.8901247059434e-08,3.80305487595612e-08
ZBTB11,3.36369701785367e-10,1.4069713141204e-09,1.785596700158e-09,7.62014846454805e-10,1.17573747958235e-09,4.80474777090004e-10,8.44252537713577e-10,7.55839974952706e-09,1.76935420492045e-09,0,1.28280609365933e-09,0,1.12692543409283e-09,4.10572163542687e-10
ZBTB11-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL24,4.09152509562387e-09,7.64358432344327e-09,5.762140146215e-09,6.30747399924048e-09,5.05866248700862e-09,5.24147685570429e-09,6.44412667077688e-09,7.28418399027644e-09,7.7262956094498e-09,7.32759963531272e-09,7.76450732954146e-09,6.12725479733053e-09,6.49553232755203e-09,4.38738561669271e-09
CEP97,0,9.63911592402582e-11,0,2.10138869711556e-10,0,0,2.35374270381423e-10,1.77085969346149e-10,0,0,0,0,0,0
NXPE3,3.74331501447817e-08,1.04014248450142e-07,8.21234658158453e-08,2.87004926427046e-08,3.85592788040114e-08,1.20443170446766e-07,3.49419061853585e-08,7.20465067276544e-08,3.43223584083561e-08,2.16315528948159e-07,4.43917985133401e-08,4.77811513561424e-08,1.11951126026102e-07,0
NFKBIZ,2.67729246637651e-09,3.98807800717163e-10,6.52175161105509e-09,1.92059909921466e-09,9.90142053144735e-10,1.14224921650654e-08,2.75375382889745e-09,3.47366743227655e-09,1.16010926500694e-09,0,3.45520131698989e-09,4.69960764953779e-09,0,9.58902628095717e-09
RP11-221J22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCAM,2.63867277009345e-06,3.69005345729996e-07,1.21472337595046e-05,3.72116668158489e-07,0,5.43940351437819e-07,4.20033165290919e-07,0,0,0,2.08391458613204e-06,2.81017027044324e-06,0,8.01743504236661e-06
CBLB,1.20708333786714e-09,4.22953153766291e-09,0,8.92819187926536e-09,6.20398320922854e-09,0,2.76208575198952e-09,1.8770933921407e-09,1.62888595214758e-09,6.43857160692495e-09,0,0,0,2.0324792143879e-09
BBX,4.48045598734392e-07,4.18682312685675e-07,4.73978488380529e-07,5.55247864297759e-07,4.73764472268672e-07,7.76740362122767e-07,8.80382480652318e-07,3.43069025826211e-07,3.1626608620262e-07,6.63741633775171e-07,2.7343803171169e-07,1.00420628619679e-06,5.50355442139307e-07,5.5446373960876e-07
CD47,2.03074668214403e-05,8.51044917405401e-06,1.46558110553485e-05,7.24678167056066e-06,8.55821187498867e-06,2.22109262905518e-05,1.34895746186744e-05,6.13012775235364e-06,8.92315306087915e-06,1.49353552767397e-05,1.51729822828332e-05,3.07905422368638e-05,2.11534248192562e-05,1.67491043345881e-05
RP11-861A13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFT57,2.80575199322322e-08,6.15067024934234e-08,4.52790645668859e-08,5.08232525013546e-08,0,9.51388370092253e-08,2.31303512723111e-07,1.95430499857438e-07,0,5.41705230185686e-08,2.23432393286508e-07,1.29899735539466e-07,1.48301261131121e-07,4.35684233196682e-08
KIAA1524,7.47886961786656e-12,0,7.69875539100349e-11,1.14025388415874e-10,0,7.03866662813722e-11,2.53526040475287e-10,0,1.66153916936597e-10,6.15238611441331e-10,0,1.08719526663122e-10,0,0
DZIP3,0,0,0,0,3.13112895411904e-10,0,2.21829030678163e-10,2.66007993620761e-10,4.5994924043279e-10,0,0,8.19010380164166e-10,8.05278989257211e-10,1.08966050122006e-10
TRAT1,2.30422288971104e-07,7.07774124909719e-06,3.77539031796262e-07,9.77790201684912e-07,1.66284064819446e-07,2.07675780696171e-07,3.03767726586948e-07,6.91734986849657e-06,5.75731785169059e-06,1.65897838481669e-06,3.00621352713846e-07,1.99102042152078e-07,2.08628053172814e-07,5.31042800024952e-07
DPPA4,0,0,0,0,0,0,5.13836591233664e-07,0,0,0,4.34963368278543e-07,1.08034416302283e-06,0,0
PVRL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD96,1.31177170123797e-07,2.84163350683993e-06,1.55065086246447e-07,3.65931748803397e-06,4.7467695494389e-06,1.85133319275078e-07,3.8421954530108e-07,3.07837897345966e-06,2.10276756451656e-06,3.4930256696681e-06,0,1.90031186337775e-07,5.08626099293413e-07,1.90679564092745e-07
ZBED2,0,8.43115483695736e-10,0,0,0,0,0,0,0,0,2.05910354959092e-09,0,0,0
PLCXD2,0,0,0,1.89610198055677e-07,0,0,0,0,0,0,0,0,0,0
PHLDB2,0,0,0,0,5.84647326690794e-07,0,0,0,0,0,0,0,0,0
ABHD10,1.21862470988524e-10,9.53882516348659e-10,2.74239936337669e-10,3.28539222916739e-10,0,1.81377161657634e-10,7.94984165152829e-10,1.85001114102368e-09,0,0,3.71860006691286e-10,1.00632473514445e-09,0,0
C3orf52,5.28214505944508e-08,0,0,0,8.65944531973827e-07,0,0,0,1.20087549486058e-06,0,1.25905422443912e-06,0,1.74895221844375e-06,0
GCSAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD200,1.53669741541524e-07,0,3.03642071673173e-07,3.74504143016286e-07,5.47096728954955e-07,0,5.78183907067413e-07,2.51217881502052e-06,5.41390235096543e-07,0,1.11473724269598e-05,1.33293647969976e-06,9.11504161804696e-07,4.79361748327645e-06
BTLA,1.58672626184128e-08,9.806830607188e-08,7.13975360617436e-08,0,1.0735271577516e-07,0,3.69696299371755e-07,5.59138243266152e-07,1.0964396906895e-07,0,1.23310225670347e-06,7.16280258220245e-08,6.55232126136207e-07,8.76025178316518e-07
ATG3,2.3568748569846e-08,3.94139432261912e-09,1.89275413116996e-08,5.31064453189296e-09,4.97448672368493e-09,2.55143972790325e-08,5.49383672878092e-09,1.38936462326448e-08,6.43993446375784e-09,1.88982845749911e-09,6.37061816988861e-09,9.89762149768786e-09,3.60464523104512e-09,1.6685801942125e-08
SLC35A5,1.17564279581086e-09,1.07884867416046e-09,2.45093929497984e-09,1.05541371679831e-09,1.42612718613456e-09,3.03860789180984e-09,1.21402131497934e-09,1.28775236222709e-09,0,0,2.83144020495369e-09,1.0690889272348e-09,2.72338321992457e-09,6.98380939907488e-10
CD200R1,1.17688785186035e-08,1.69227354710123e-07,1.68503032154541e-07,0,0,0,0,1.92859494876895e-07,4.08703163058524e-07,0,0,0,0,0
RP11-484K9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP8,8.27149993986173e-10,3.9951756345047e-09,3.36936586279332e-09,3.01308374931847e-09,1.00073682209438e-08,2.09487824982189e-09,4.09280477717101e-09,2.21197792746383e-08,8.2961412114448e-09,3.88836386166852e-09,7.45271905424922e-10,6.43580551003478e-09,1.90272261276049e-09,3.57259138159436e-09
C3orf17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPICE1,1.30466212282226e-06,2.50706847113221e-05,0,2.8246666797405e-05,0,0,0,0,0,0,0,0,0,0
SIDT1,7.32472715853994e-06,1.87960119256262e-05,3.62619918995486e-05,8.07154876893368e-05,0.000118005802431062,0,0.000406681560397435,4.30484353060509e-05,0,0.000251711313522472,0.00013130163639357,0.000115811465515999,0.000294761203005959,2.05862477364237e-05
SIDT1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAA50,1.699940282029e-09,7.92154042954463e-10,1.50207998528859e-09,1.01691515190385e-09,3.15535992235293e-10,8.90524195672671e-10,1.66414454847636e-09,1.82207315909561e-09,1.66716383805026e-09,1.80028115861168e-09,4.83506616175778e-09,1.18398310115821e-09,1.60282287267377e-09,1.93224888172307e-09
ATP6V1A,4.34250337162815e-09,7.5195593987651e-10,6.09528496931158e-09,6.06833446700104e-10,0,2.99902133072089e-10,0,7.69473086436478e-10,6.5844803881184e-10,0,9.84254727692059e-10,3.70742510280779e-09,0,4.7908215149972e-09
GRAMD1C,0,0,0,0,4.55274123825353e-07,1.00876784834034e-07,0,0,0,5.47415129770921e-07,0,0,0,0
ZDHHC23,0,0,0,0,0,0,0,6.23955484787817e-07,0,0,0,0,0,3.47895896398022e-07
KIAA1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QTRTD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-553L6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF80,3.3711707516084e-09,0,0,0,0,0,0,0,0,4.63236844061022e-07,0,0,0,0
TIGIT,1.00437253100856e-07,9.46804026791737e-07,0,1.16280732059749e-06,2.38168264978309e-06,5.5569582983527e-08,0,4.30485444273352e-07,5.08544659994114e-07,2.54929244309864e-06,7.59494742875038e-08,2.76214378054209e-07,1.40338800633362e-07,1.3445845144426e-07
RP11-553L6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB20,3.85051048536088e-08,3.67680639511195e-07,0,2.75075384044478e-07,0,0,1.77222555026939e-06,4.80653684231528e-07,3.07738459917707e-07,0,1.78979668649877e-07,0,2.44551381278379e-07,7.96285460182291e-08
ZBTB20-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB20-AS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALT4,7.31764497320625e-10,9.93657173701673e-10,7.69468995622256e-10,9.8751224117014e-10,1.36537403296698e-09,4.05385501033106e-10,0,1.70836629874679e-09,5.68108427257401e-10,0,3.92368961289458e-10,0,0,4.68018620258125e-10
ARHGAP31,4.5961091242555e-07,0,6.83485384626278e-07,3.16930552385959e-07,0,1.63454445207542e-07,0,0,0,0,0,5.96926604430342e-07,0,6.76380243127431e-07
TMEM39A,1.56174403348998e-10,9.81071411035057e-10,3.71329076276919e-10,5.23035322368935e-10,7.63392824020645e-10,4.05181190137486e-10,8.52677511920246e-10,1.66494152352583e-09,2.3773348643679e-10,1.0472497060939e-09,9.06230502078437e-10,5.49370420077681e-10,4.57177000312053e-10,1.14989662958644e-09
POGLUT1,3.49636132826202e-11,3.91118137220718e-10,5.18091857178244e-10,0,0,1.15687631217543e-10,1.4058074620082e-10,0,0,0,3.14029667280499e-10,7.7289983842583e-10,6.52765078626947e-10,1.61175515704161e-09
TIMMDC1,1.02784460136677e-09,1.34074350712946e-09,2.36510293724423e-09,2.33321913294989e-09,2.95881518835724e-09,2.39680509120967e-09,1.23939742898468e-09,1.33542925286127e-09,2.18093458235639e-09,8.34836414469536e-10,2.98015192243582e-09,3.79905224984809e-09,8.67747634954556e-10,1.8284813446758e-09
CD80,4.97670845508684e-07,0,3.77941553858498e-07,0,0,3.61267451312226e-07,1.0663745232065e-07,0,0,0,3.40183590744701e-07,0,0,8.65772800748323e-07
ADPRH,5.6800615229853e-07,0,0,0,0,3.05776677632325e-07,2.47788790078935e-07,0,0,0,1.74578099175331e-07,4.32596960539923e-07,0,8.45736210986148e-07
POPDC2,1.63105644466279e-09,0,0,0,0,3.48274232930277e-09,0,0,0,0,0,0,0,4.77526826674003e-09
COX17,1.19579929346288e-14,5.79585455109638e-15,1.71400259593978e-14,9.132303538767e-15,1.00740759442727e-14,1.86326628439928e-14,1.02946806842078e-14,8.29579744019113e-15,5.39208425165166e-15,2.48353562777538e-15,1.3375777650615e-14,2.88045077314522e-14,6.89648635774611e-15,1.72389465599679e-14
MAATS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSK3B,2.84443882475561e-09,6.43000629509402e-10,5.05213345035953e-09,2.22250082705356e-09,2.15808127746076e-09,2.81744074699889e-09,8.39985437897399e-10,8.47510768169344e-10,0,0,1.41232255337829e-09,2.78230167163481e-09,1.29258685117939e-09,4.48289990761517e-09
RP11-18H7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC58,9.09185829007747e-09,7.89773584108695e-09,2.73954298880015e-08,3.73488239911177e-08,0,1.04223394557998e-08,3.92176953949399e-08,1.8854052087932e-08,2.11904854720804e-08,0,5.12920016127127e-08,6.65159519930641e-08,0,0
NDUFB4,3.94418756682958e-08,4.08076603502995e-08,4.63563900046948e-08,3.33357972467526e-08,3.44558140587307e-08,3.9703514488364e-08,4.13360144735027e-08,5.02915837355752e-08,3.32587993155929e-08,1.88958544081694e-08,2.93494217099502e-08,7.07506237736655e-08,2.89583984058953e-08,5.87995781520442e-08
HGD,0,0,0,0,0,0,0,0,0,0,5.56932888494755e-08,0,0,0
RABL3,5.3237488581613e-10,3.62714068636339e-10,7.65211619397553e-10,5.46499010704271e-10,5.55393635047633e-10,5.46651345298362e-10,4.01771665256257e-10,8.66531481346668e-10,0,1.70460857242721e-09,1.0851517080998e-09,9.47671493449315e-10,4.15318811515363e-10,4.80862975570923e-10
GTF2E1,1.38322954857844e-10,2.9124618718746e-10,1.68630989466402e-10,0,3.10134975922908e-10,9.00023139991887e-11,4.73563864499952e-10,1.74106558786402e-10,2.44743893671571e-10,8.12145588634551e-10,0,0,0,2.07634408336846e-10
HCLS1,2.17738264204051e-06,1.77100489295749e-06,3.88873032711373e-06,1.47091604532042e-06,2.59122697056537e-06,2.95339950214555e-06,1.76327982049214e-06,7.93845374103804e-07,1.05140316436298e-06,5.99316893481942e-07,2.16572044544539e-06,2.22282173170875e-06,1.98032549746252e-06,1.60815622375486e-06
GOLGB1,3.27990014249988e-07,9.89643283635734e-07,6.26626500441108e-07,5.77618326623945e-07,1.10937278835222e-06,5.07289323906263e-07,5.06215700723104e-07,1.57870237236149e-06,5.36893877476374e-07,4.8891701104206e-07,1.75602118912586e-07,6.24343063294285e-07,2.30654519449366e-06,5.62599142959643e-07
IQCB1,4.13674340767036e-08,2.72072245328691e-07,8.81817103996422e-08,0,1.74419337242637e-07,2.69928099306332e-07,2.57655452723837e-07,5.57210926601755e-07,2.59349650977441e-07,0,4.03198837134715e-07,3.38771308919897e-07,4.18920558828313e-07,3.02809258028176e-07
EAF2,4.01406408982137e-07,1.10010573426883e-07,8.54066098586385e-07,1.35511774033577e-07,0,9.55208632801102e-07,1.01150446550813e-06,1.3827896726856e-07,1.06596627789399e-07,0,1.03096169651256e-06,2.11063318085964e-06,1.26695382652237e-06,6.8268447840843e-07
SLC15A2,6.32625792406203e-12,0,0,0,0,0,0,9.34045170777761e-11,0,0,0,7.53422256376785e-11,0,9.92668797966142e-11
CD86,1.11737951117637e-05,0,1.86179844510919e-05,0,0,2.95843507587651e-05,3.5254621426864e-06,0,0,0,3.61907908080006e-06,1.27415350978514e-06,6.77013195295514e-07,2.79873799761913e-05
CSTA,1.93019018583967e-06,9.90334954954937e-08,2.70580957828996e-06,0,0,1.12890643403456e-06,0,0,0,0,0,0,0,1.24286178237879e-06
CCDC58,1.56705484011502e-16,1.17590817413733e-15,0,0,0,0,2.06538399206032e-15,2.14275003252151e-15,1.48333255624661e-15,0,8.40865464023166e-15,2.84182830507972e-15,8.3528304184586e-16,3.93617135561771e-16
FAM162A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR5B,3.560736249258e-11,4.34019521141395e-11,6.22013045996831e-11,3.84612577254311e-10,0,1.10916080599703e-10,1.129457924852e-10,3.94500111044481e-10,0,0,1.05184702176003e-10,0,0,0
RP11-299J3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPNA1,1.52940489716291e-08,2.06404565651216e-08,5.73178829719592e-08,5.9194940794336e-08,3.29654453399467e-08,3.49474079491705e-08,4.63516959061163e-08,1.0817320679676e-07,9.77020006757127e-09,8.28553016750533e-08,8.92929626055462e-08,1.55275369154146e-08,0,3.70433861807246e-08
PARP9,1.38914335496834e-06,4.82350784376915e-07,1.35664912840703e-06,4.28929310016179e-07,5.62509134244451e-07,1.46833299536476e-06,7.74614008184764e-07,6.53047816450342e-07,6.18742831018688e-07,1.5698160394533e-06,7.16949027142728e-07,1.83543531175163e-06,7.36042065704053e-07,1.3665223007982e-06
DTX3L,8.66047210995251e-07,1.87398336905151e-07,6.15329212674564e-07,3.14030544781886e-07,2.48349754477057e-07,7.04146620627045e-07,4.94040776041412e-07,1.78981060393888e-07,0,1.96162196558449e-07,3.31541817158746e-07,1.8270086325278e-07,3.76382791819129e-07,8.43087082207771e-07
PARP15,4.46389553797945e-07,5.18679476376269e-07,9.7387690490341e-07,0,0,3.1810219772523e-07,1.1943802647849e-06,0,8.16021185937424e-07,0,1.08557507753795e-06,0,2.30994364508034e-06,2.96533529933738e-07
PARP14,6.57531469554194e-06,1.41833584449416e-06,6.08942893980714e-06,2.64655011964642e-06,4.51198342331186e-06,7.21623046697039e-06,7.01665502048311e-06,2.09931880649323e-06,1.3229643348788e-06,2.41143925971549e-06,5.19566080332772e-06,5.72742653054387e-06,7.64166361197238e-06,8.2066487047242e-06
HSPBAP1,3.90112554757178e-08,1.3258475721755e-08,1.12867318617004e-07,3.2075954811226e-08,0,1.21151346484065e-07,1.032104981219e-07,0,0,0,6.468537759613e-08,5.88029760522319e-08,5.78302691515734e-08,3.23946325440073e-08
DIRC2,3.8532987516129e-08,1.69962871151673e-08,3.22878622187435e-08,0,0,1.15247927024106e-07,3.35197811543615e-08,0,0,2.90269421595667e-07,3.74264028931606e-08,0,0,0
RP11-67L2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDIA5,1.27389331074839e-08,0,0,2.09476322265679e-07,0,0,0,0,4.91495785759463e-07,0,2.36085337175979e-07,4.85561808622711e-07,0,0
SEC22A,1.15232744271032e-09,0,0,2.27496383096098e-09,2.23651548686227e-09,6.62416807577783e-10,1.686627848787e-09,2.0396889685275e-09,3.76463462279131e-09,3.1003792142785e-09,1.47249203995284e-09,1.98591692990986e-09,0,2.0258964774994e-09
PTPLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYLK-AS1,0,0,0,0,9.6111785187391e-08,0,0,0,0,0,0,0,0,0
MYLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC14,9.46589853728705e-08,3.87048224586763e-07,3.49157549001453e-07,4.53225989343378e-07,8.97774390901735e-07,0,2.5114090641151e-07,2.27065855094009e-07,2.43340114985435e-07,8.48901737597309e-07,0,1.14179157359073e-06,4.05315929454181e-07,1.34463226460603e-07
KALRN,0,0,0,0,0.000182977635938417,0,0,0,0,0,0,0,0,0
UMPS,2.69708301850998e-08,1.81116035337829e-07,2.38471833076562e-07,6.26739641617477e-08,2.26249985940661e-07,4.14116962400864e-08,1.63930209701438e-07,2.95494182991627e-07,9.28719464031518e-08,0,1.22286988783007e-06,3.84536485373889e-07,2.69612991571345e-07,0
HEG1,9.97038096565612e-07,0,0,7.14971924929452e-07,0,1.62187796914976e-06,0,4.71742649339167e-07,5.2392241033083e-07,1.49675666536586e-06,0,0,0,5.55266369244363e-07
SLC12A8,3.28823063735887e-07,0,0,9.26579879772879e-07,0,5.55267693509004e-07,0,0,0,0,0,0,0,0
ZNF148,1.83478107878709e-08,2.29521518875755e-08,3.24816041692747e-08,4.4225866644786e-08,3.65106837144268e-08,3.49958762051701e-08,4.22424546093548e-08,5.89140510308544e-08,4.07898551458589e-08,6.27305207942772e-08,1.43130509285383e-08,1.561000104381e-08,4.94640411483226e-08,3.32118698705019e-08
SNX4,4.92777499033792e-09,4.2750229030143e-09,1.10263091285948e-08,5.10623610072590e-09,7.6282469281467e-09,4.81257962310172e-09,5.47479133951437e-09,0,5.04805334494885e-09,4.1771859843154e-09,1.13758516946428e-08,1.21191281757623e-08,4.52244613651891e-09,1.54327693290035e-08
OSBPL11,8.40629627931277e-10,1.04658442246414e-10,3.38082354405052e-10,2.3241643575438e-10,3.54727865510354e-10,6.04453478554122e-10,4.62078808240795e-10,2.06717913344268e-10,0,0,0,4.28334970857143e-10,7.99695008838666e-10,2.19342373101819e-10
RP11-379B18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L,0,0,0,2.03727265743064e-09,0,0,0,0,0,0,0,0,0,0
SLC41A3,3.28722221080759e-08,9.74098047979065e-08,5.00342451172011e-08,7.55570013932932e-08,7.77313346593094e-08,1.22174723745906e-07,2.28391819834722e-07,0,1.77682791256332e-07,0,2.00159668491831e-07,1.29125792634658e-07,0,6.37562091078821e-08
ZXDC,3.1178963021662e-09,0,1.21065681196476e-08,8.87638579072454e-09,0,4.1080346575917e-09,0,0,0,0,0,0,0,1.59741386762578e-08
TXNRD3,0,0,0,0,0,0,0,0,8.01442518775009e-07,0,0,0,0,0
CHCHD6,3.58080284683598e-06,0.000102610579855675,0,0,6.04473009288449e-05,0,4.58919268726532e-05,4.05229293953514e-05,0.00010179685203177,0,7.68442555208875e-05,0,0,0
PLXNA1,1.30533695524388e-08,0,0,0,0,0,0,0,0,0,3.22347448850873e-08,7.85036057283317e-08,0,1.86460275488565e-08
TPRA1,1.69655570872857e-07,2.34537604133011e-08,1.92255940678445e-07,3.93235133769834e-08,4.24518981654087e-08,7.15790443185527e-08,3.10325113063723e-08,0,1.25531852103013e-08,0,3.05668999763001e-08,3.04669515839487e-08,1.54756591371176e-08,2.94369382043989e-07
MCM2,0,0,0,0,0,0,9.71059343452971e-08,0,0,0,5.13767256698413e-08,2.90009030475268e-08,0,1.58969373938734e-08
PODXL2,7.00981699952161e-08,5.45992970060134e-07,0,1.060835639963e-06,0,0,0,0,0,0,1.77691010383488e-06,2.18468414834892e-06,0,7.58077446267114e-07
ABTB1,5.96641858186377e-07,4.41670044000471e-07,2.42281265081212e-07,3.36732921986108e-07,7.51379821607352e-07,7.19261103151445e-07,2.72195276586849e-07,1.4002829021538e-07,3.05157207245199e-07,3.03065542676885e-07,6.20131297711017e-08,2.61787512815945e-07,0,4.11115000658251e-07
MGLL,6.31634337703971e-06,0,9.3958194824028e-07,7.60358792241497e-07,0,5.37063159612794e-07,7.92364836949108e-07,0,0,0,5.48923240396294e-06,2.46448656569805e-05,0,1.99932946699189e-05
SEC61A1,5.72988984463865e-09,4.45148656154273e-09,5.01087152025462e-09,2.84330087581684e-09,5.78100509697815e-09,4.08174475097265e-09,2.08617573154147e-09,4.67754101015208e-09,2.00871959743603e-09,0,5.04791916753177e-09,1.11090908813417e-08,3.38316638893156e-09,4.84389643698764e-09
RUVBL1,1.77180810032244e-07,2.58623718281022e-06,1.20301314127013e-06,2.47981924556185e-06,2.20449120774924e-06,2.65041297596782e-07,1.09384092300544e-06,3.22655531219174e-06,3.30633215750164e-06,0,1.20118962279789e-05,5.16415011227698e-06,1.776462390297e-06,7.28651511785204e-07
EEFSEC,1.42722609567767e-08,5.83686431711654e-08,0,1.32063362378877e-07,9.25063774366049e-08,0,0,0,1.390039496246e-07,0,2.23642301018323e-07,5.2776892293331e-08,1.19964033769563e-07,0
GATA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPN1,1.60270150785774e-08,1.18002476802592e-08,3.40430739737093e-08,1.45552950346296e-08,1.72997028129877e-08,1.65588990673924e-08,7.39994869409175e-09,8.52068359848437e-09,7.75884319577032e-09,6.73280019109678e-09,3.55494998802706e-08,3.4573759104079e-08,1.74474355888121e-08,1.81327266472724e-08
RAB7A,4.33146065159325e-08,1.63557854801436e-08,3.97986521921742e-08,2.00345722771934e-08,2.30662731263435e-08,3.03237130686847e-08,1.15870357420073e-08,2.31756081746202e-08,1.60556797300819e-08,6.50352958198031e-09,3.22592551446668e-08,3.61125166708071e-08,9.8555286143636e-09,3.51745146196119e-08
ACAD9,9.00260732651051e-11,1.16489669336887e-10,8.46183737072565e-11,0,3.05601451016273e-10,8.72409941974441e-11,5.29849889794056e-10,0,0,0,1.07615475979455e-10,9.20698140132415e-11,0,6.73003165066089e-11
GP9,4.06655385254063e-08,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-434H6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-434H6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNBP,2.92665141196395e-08,5.17117188894779e-08,5.05847295146312e-08,5.06350704017594e-08,4.41087421578251e-08,4.25036108134543e-08,5.65559776976813e-08,1.21575858517334e-07,5.80625215835477e-08,4.30559216043977e-08,9.0118874453327e-08,4.67527208166891e-08,5.08264625784315e-08,3.94301532402838e-08
COPG1,1.12214313363078e-09,1.71285051290958e-09,1.4954029561796e-09,2.41301932355718e-09,1.98907935804851e-09,6.83215144080135e-10,2.07737045328079e-09,0,1.61503950419242e-09,5.44248150128782e-09,1.0888619157143e-09,2.6792193837906e-09,8.78296478180629e-10,2.3613920765027e-09
HMCES,1.19061663693339e-08,2.75865052575921e-08,7.0589983811749e-09,2.47748619359271e-08,1.7345115440252e-08,1.64659007397613e-08,4.65260973959585e-09,4.55351443920366e-08,2.22120898440534e-08,0,1.50936298488468e-08,2.57107395436175e-08,7.94599125289369e-09,2.58497350442982e-08
H1FX,2.97543849158778e-08,2.75371685414928e-08,6.73086392309468e-08,5.87615236350457e-08,8.44769861315464e-08,8.00005507921304e-09,1.39906615621626e-08,3.46428668508121e-07,5.23916085599036e-08,0,0,1.38561199638991e-07,2.53290805818049e-08,1.40297673559792e-07
MBD4,6.17920714514824e-10,6.56060853498329e-10,6.42376481351263e-10,4.15173149879377e-10,9.56945860509988e-10,5.60321380213554e-10,1.11728236380209e-09,1.04907212219447e-09,5.24370025098231e-10,3.46343627934212e-10,4.49825060343403e-10,6.71438699701385e-10,1.0838035668504e-09,4.41520552490211e-10
IFT122,7.95595456299665e-11,0,0,0,0,0,0,0,0,0,0,4.00256204491229e-10,0,0
PLXND1,8.49057139040234e-07,3.80060414252641e-07,0,0,0,0,0,0,0,0,0,0,0,8.66970810787027e-07
